Facility,Latitude,Longitude
Kapsowar mission hospita,0.98108,35.56081
Kaptarakwa H/C,0.46425,35.54283
Kapteren H/C,0.56239,35.47861
Kaptiony Dis,0.96401,35.34697
Kapyego H/C,1.14584,35.47924
Kimnai Dis,1.00001,35.48528
Kipsaiya Dis (Sub County Hosp),0.95108,35.57557
Kocholwo,0.2273,35.66171
Kokwongoi Dis,1.024027,35.428045
Lelboinet H/C,0.35635,35.57499
Msekekwa,0.75823,35.51188
Muskut H/C,0.36931,35.62697
Sergoit H/C (1),0.6751,35.4435
Sergot H/C (2),0.59529,35.52226
Biretwa H/C,0.53801,35.55826
Chegilet Dis,0.82836,35.60051
Tenden,1.01577,35.363011
Kapsowar,0.975809,35.562547
Sumbeiywet Dis,0.921456,35.468611
Kondabilet Dis,0.91407,35.4368
Tuturung Dis,1.10097,35.5888
Kamasia H/C,1.06491,35.4581
Kapterit Dis,1.127099,35.48499
Komba Belio Dispensary,0.67889,35.50678
Kiptengwer Dis,0.21425,35.60187
Arror H/C,0.95125,35.62007
Kaptagat Forest,0.414979,35.49164
Tabere Dis,0.1892,35.65036
Kibigos Dis,1.02872,35.40697
Cheptongei H/C,0.940888,35.5163
Sabor Forest Dis,0.47714,35.47937
Chesoi Dis,1.07398,35.63335
Simotwo Dis,0.2973,35.53799
Flax,0.37328,35.48215
Chebororwa,0.954211,35.39244
Chemwosur H/C,1.07424,35.67328
Chepkorio H/C,0.38539,35.53656
Chesoi Sub County H/C,1.07013,35.57377
Jemunada,0.947922,35.4459
Kabetwo,1.16066,35.64437
Kamogo,1.190946,35.606186
Kamwosor S/C H,0.998885,35.5698574
Kaperon,1.28751,35.6275
Kapcherop,1.048151,35.324144
Kapchesewes,0.99227,35.552869
